Year,Name,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_MWh,Peak_Rel_Diff_%
2020,AEC,16.12,2.99,25.56,2.99
2020,AECI,65.69,2.72,94.91,2.46
2020,AVA,55.81,3.67,78.07,3.72
2020,AZPS,31.27,0.72,80.51,1.23
2020,BANC,74.43,3.55,113.02,3.35
2020,BPAT,286.36,4.09,382.58,4.15
2020,CHPD,8.39,3.54,15.27,3.79
2020,CISO,995.0,3.51,1403.52,3.44
2020,CPLE,42.45,0.63,55.22,0.53
2020,DOPD,5.97,2.8,11.0,3.48
2020,DUK,24.4,0.21,23.12,0.13
2020,EPE,20.94,2.24,33.66,2.18
2020,ERCO,469.52,1.22,714.26,1.19
2020,FMPP,32.45,1.39,50.7,1.46
2020,FPC,97.03,1.39,159.31,1.45
2020,FPL,206.69,1.29,337.06,1.41
2020,GCPD,22.8,3.44,28.22,3.46
2020,GVL,3.49,1.37,5.47,1.37
2020,HST,0.97,1.37,1.43,1.37
2020,IID,16.49,3.62,32.63,3.66
2020,IPCO,78.18,3.99,92.13,3.1
2020,ISNE,169.48,1.04,214.5,0.95
2020,JEA,23.31,1.38,35.82,1.42
2020,LDWP,126.96,3.59,194.79,3.59
2020,LGEE,61.27,1.71,87.18,1.69
2020,MISO,694.87,0.89,1041.45,1.0
2020,NEVP,156.2,3.36,211.71,2.68
2020,NSB,0.74,1.37,1.22,1.37
2020,NWMT,34.0,3.15,41.99,3.15
2020,NYIS,389.33,2.08,457.44,1.72
2020,PACE,267.85,4.33,366.28,4.54
2020,PACW,112.87,4.41,136.49,4.13
2020,PGE,129.34,5.15,169.99,5.12
2020,PJM,944.97,0.98,1426.99,1.01
2020,PNM,51.55,3.06,68.77,2.88
2020,PSCO,156.69,3.14,189.57,2.73
2020,PSEI,131.89,3.43,177.24,3.41
2020,SC,46.12,1.48,70.75,1.51
2020,SCEG,43.55,1.37,63.54,1.33
2020,SCL,43.71,3.44,58.08,3.44
2020,SEC,2.43,1.37,3.69,1.41
2020,SOCO,605.77,2.27,939.91,2.37
2020,SPA,1.93,2.63,2.63,2.61
2020,SRP,2.58,0.06,7.54,0.12
2020,SWPP,873.48,2.78,1271.5,2.69
2020,TAL,4.85,1.37,7.46,1.37
2020,TEC,38.5,1.38,60.26,1.43
2020,TEPC,5.95,0.32,13.08,0.45
2020,TIDC,11.39,3.51,17.17,3.3
2020,TPWR,21.63,3.42,29.81,3.4
2020,TVA,342.51,1.74,467.06,1.62
2020,WACM,107.87,3.4,130.15,3.29
2020,WALC,26.48,2.43,31.21,2.01
2020,WAUW,3.06,3.57,4.1,3.53
2025,AEC,17.03,3.08,26.18,3.0
2025,AECI,72.81,3.07,113.52,3.05
2025,AVA,74.12,4.41,102.55,4.41
2025,AZPS,61.28,1.34,150.29,2.21
2025,BANC,101.7,4.5,157.96,4.23
2025,BPAT,364.91,4.78,496.36,4.96
2025,CHPD,11.1,4.24,18.97,4.52
2025,CISO,1368.37,4.55,2018.89,4.64
2025,CPLE,51.84,0.73,80.18,0.77
2025,DOPD,7.32,3.17,11.69,3.39
2025,DUK,145.61,1.19,232.88,1.34
2025,EPE,27.99,2.91,42.3,2.75
2025,ERCO,577.04,1.45,837.88,1.4
2025,FMPP,32.56,1.32,50.41,1.39
2025,FPC,98.22,1.32,161.65,1.41
2025,FPL,204.16,1.2,331.02,1.34
2025,GCPD,30.11,4.16,37.93,4.19
2025,GVL,3.48,1.27,5.3,1.27
2025,HST,0.94,1.27,1.38,1.27
2025,IID,22.42,4.63,44.26,4.69
2025,IPCO,103.45,4.71,122.79,3.66
2025,ISNE,81.62,0.51,92.51,0.43
2025,JEA,23.24,1.3,35.01,1.31
2025,LDWP,170.82,4.56,261.9,4.57
2025,LGEE,54.5,1.54,71.49,1.42
2025,MISO,171.27,0.21,262.74,0.26
2025,NEVP,201.4,4.03,272.05,3.15
2025,NSB,0.73,1.27,1.19,1.27
2025,NWMT,48.9,4.3,60.65,4.3
2025,NYIS,443.65,2.39,511.26,2.0
2025,PACE,360.6,5.45,499.62,5.81
2025,PACW,135.46,4.96,165.48,4.72
2025,PGE,147.74,5.54,193.73,5.5
2025,PJM,250.19,0.26,349.06,0.26
2025,PNM,76.58,4.32,100.67,4.16
2025,PSCO,237.44,4.45,281.71,3.87
2025,PSEI,171.61,4.09,227.16,4.06
2025,SC,106.27,3.34,158.45,3.42
2025,SCEG,107.71,3.28,154.77,3.28
2025,SCL,56.72,4.12,73.96,4.12
2025,SEC,2.46,1.29,3.88,1.34
2025,SOCO,478.78,1.79,698.0,1.83
2025,SPA,2.11,2.89,2.87,2.86
2025,SRP,20.87,0.52,41.91,0.62
2025,SWPP,1018.16,3.26,1471.3,3.32
2025,TAL,4.82,1.27,7.29,1.27
2025,TEC,38.31,1.29,60.44,1.39
2025,TEPC,15.24,0.78,31.14,1.04
2025,TIDC,15.49,4.46,23.81,4.2
2025,TPWR,28.18,4.08,38.24,4.04
2025,TVA,287.38,1.46,375.93,1.31
2025,WACM,151.71,4.49,181.68,4.38
2025,WALC,34.54,2.96,43.75,2.63
2025,WAUW,4.26,4.71,5.8,4.68
2030,AEC,7.7,1.37,12.12,1.32
2030,AECI,18.85,0.76,41.68,1.12
2030,AVA,4.19,0.24,6.61,0.27
2030,AZPS,343.95,7.52,653.31,8.78
2030,BANC,15.67,0.61,36.66,0.92
2030,BPAT,32.18,0.39,64.03,0.61
2030,CHPD,1.1,0.45,0.95,0.22
2030,CISO,150.69,0.47,146.78,0.32
2030,CPLE,358.26,5.08,542.88,5.01
2030,DOPD,5.56,2.41,6.42,1.93
2030,DUK,720.25,5.72,1097.46,5.93
2030,EPE,17.03,1.63,30.14,1.85
2030,ERCO,1248.16,3.01,1975.42,3.1
2030,FMPP,70.54,2.81,102.77,2.74
2030,FPC,211.73,2.83,319.09,2.69
2030,FPL,523.14,3.01,723.37,2.8
2030,GCPD,3.62,0.49,3.87,0.4
2030,GVL,7.88,2.84,12.38,2.84
2030,HST,2.23,2.84,3.21,2.84
2030,IID,1.99,0.41,3.17,0.31
2030,IPCO,23.38,0.95,47.2,1.29
2030,ISNE,586.43,3.44,831.69,3.57
2030,JEA,49.84,2.79,74.19,2.72
2030,LDWP,20.6,0.51,31.31,0.5
2030,LGEE,120.83,3.38,176.27,3.41
2030,MISO,3561.37,4.41,4701.15,4.3
2030,NEVP,69.38,1.15,135.52,1.5
2030,NSB,1.64,2.84,2.73,2.84
2030,NWMT,5.5,0.46,5.59,0.38
2030,NYIS,435.17,2.19,726.56,2.65
2030,PACE,63.38,0.88,111.88,1.2
