scenario,state,year,load_TWh,load_normalized
rcp85cooler_ssp3,AK,1975,0.510867688888893,0.068
rcp85cooler_ssp3,AK,1990,4.96765476361115,0.66
rcp85cooler_ssp3,AK,2005,6.58350052472228,0.875
rcp85cooler_ssp3,AK,2010,6.88149901555561,0.914
rcp85cooler_ssp3,AK,2015,6.70977886111117,0.891
rcp85cooler_ssp3,AK,2020,7.5278188805195,1.0
rcp85cooler_ssp3,AK,2025,8.07772001296673,1.073
rcp85cooler_ssp3,AK,2030,9.17256602940007,1.218
rcp85cooler_ssp3,AK,2035,10.4881863772084,1.393
rcp85cooler_ssp3,AK,2040,11.7056493649695,1.555
rcp85cooler_ssp3,AK,2045,13.0115217183565,1.728
rcp85cooler_ssp3,AK,2050,13.8345166691029,1.838
rcp85cooler_ssp3,AK,2055,15.1393696299304,2.011
rcp85cooler_ssp3,AK,2060,17.6966784460976,2.351
rcp85cooler_ssp3,AK,2065,20.5167104057254,2.725
rcp85cooler_ssp3,AK,2070,21.7682693041585,2.892
rcp85cooler_ssp3,AK,2075,21.9851687130505,2.921
rcp85cooler_ssp3,AK,2080,21.7424945918604,2.888
rcp85cooler_ssp3,AK,2085,21.2943538995713,2.829
rcp85cooler_ssp3,AK,2090,20.8221645652413,2.766
rcp85cooler_ssp3,AK,2095,20.3416849462988,2.702
rcp85cooler_ssp3,AK,2100,19.9753719500718,2.654
rcp85cooler_ssp3,AL,1975,22.3832566666668,0.241
rcp85cooler_ssp3,AL,1990,66.373922440445,0.714
rcp85cooler_ssp3,AL,2005,97.9801635436674,1.054
rcp85cooler_ssp3,AL,2010,99.3791048471119,1.069
rcp85cooler_ssp3,AL,2015,95.4187714466952,1.026
rcp85cooler_ssp3,AL,2020,92.9771328867674,1.0
rcp85cooler_ssp3,AL,2025,92.4376267639174,0.994
rcp85cooler_ssp3,AL,2030,94.3507334073808,1.015
rcp85cooler_ssp3,AL,2035,94.3844225700485,1.015
rcp85cooler_ssp3,AL,2040,95.0029266655652,1.022
rcp85cooler_ssp3,AL,2045,91.7528714641271,0.987
rcp85cooler_ssp3,AL,2050,94.9972305472074,1.022
rcp85cooler_ssp3,AL,2055,92.3170738361824,0.993
rcp85cooler_ssp3,AL,2060,96.3062318852863,1.036
rcp85cooler_ssp3,AL,2065,97.3082746053124,1.047
rcp85cooler_ssp3,AL,2070,97.2898091316708,1.046
rcp85cooler_ssp3,AL,2075,96.6702550316266,1.04
rcp85cooler_ssp3,AL,2080,96.3170183136655,1.036
rcp85cooler_ssp3,AL,2085,92.398648592476,0.994
rcp85cooler_ssp3,AL,2090,94.5457120722119,1.017
rcp85cooler_ssp3,AL,2095,90.8899052794216,0.978
rcp85cooler_ssp3,AL,2100,89.3826618833682,0.961
