Year,Name,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_MWh,Peak_Rel_Diff_%
2020,Alabama,68.74,0.65,108.91,0.7
2020,Arizona,117.7,1.3,56.99,0.32
2020,Arkansas,7.79,0.14,10.57,0.13
2020,California,1039.66,2.93,1431.87,2.72
2020,Colorado,108.94,1.57,126.93,1.33
2020,Connecticut,2.14,0.06,4.67,0.09
2020,Delaware,12.94,0.88,18.74,0.85
2020,District of Columbia,6.1,0.38,9.66,0.41
2020,Florida,259.49,0.79,436.46,0.88
2020,Georgia,102.36,0.58,160.13,0.62
2020,Idaho,28.92,0.98,11.68,0.28
2020,Illinois,157.64,0.95,170.02,0.7
2020,Indiana,64.19,0.52,109.6,0.65
2020,Iowa,12.07,0.19,31.71,0.39
2020,Kansas,26.43,0.53,32.91,0.43
2020,Kentucky,22.76,0.25,27.2,0.2
2020,Louisiana,41.5,0.38,80.82,0.56
2020,Maine,8.69,0.63,10.69,0.55
2020,Maryland,37.37,0.45,58.62,0.48
2020,Massachusetts,35.02,0.5,41.62,0.42
2020,Michigan,124.64,1.0,205.2,1.22
2020,Minnesota,41.51,0.47,88.63,0.76
2020,Mississippi,17.34,0.28,35.2,0.43
2020,Missouri,20.66,0.19,37.74,0.25
2020,Montana,10.09,0.57,16.5,0.73
2020,Nebraska,6.87,0.17,15.89,0.28
2020,Nevada,27.69,0.63,17.84,0.23
2020,New Hampshire,5.5,0.4,6.26,0.33
2020,New Jersey,67.14,0.67,99.24,0.67
2020,New Mexico,21.05,0.78,30.25,0.78
2020,New York,250.76,1.32,267.84,0.97
2020,North Carolina,45.09,0.27,36.78,0.14
2020,North Dakota,9.42,0.43,16.3,0.53
2020,Ohio,88.74,0.49,138.6,0.52
2020,Oklahoma,12.53,0.17,21.56,0.19
2020,Oregon,95.84,1.54,114.63,1.4
2020,Pennsylvania,112.53,0.63,173.35,0.66
2020,Rhode Island,0.7,0.07,1.87,0.14
2020,South Carolina,11.11,0.11,11.13,0.07
2020,South Dakota,2.6,0.17,3.74,0.17
2020,Tennessee,97.75,0.77,121.06,0.64
2020,Texas,198.4,0.38,340.44,0.44
2020,Utah,62.19,1.5,89.41,1.63
2020,Vermont,0.87,0.13,0.74,0.08
2020,Virginia,38.39,0.27,54.71,0.26
2020,Washington,284.88,2.27,387.12,2.33
2020,West Virginia,21.18,0.59,32.83,0.62
2020,Wisconsin,65.59,0.78,101.12,0.89
2020,Wyoming,6.67,0.37,11.03,0.48
2025,Alabama,102.43,0.97,156.42,1.03
2025,Arizona,108.73,1.12,80.72,0.43
2025,Arkansas,103.7,1.82,153.56,2.0
2025,California,1211.63,3.23,1754.54,3.13
2025,Colorado,114.2,1.54,119.25,1.2
2025,Connecticut,40.01,1.13,58.05,1.21
2025,Delaware,35.18,2.4,50.61,2.39
2025,District of Columbia,3.42,0.22,4.73,0.2
2025,Florida,51.2,0.15,66.19,0.13
2025,Georgia,174.24,1.0,258.0,1.01
2025,Idaho,22.14,0.64,38.48,0.81
2025,Illinois,54.07,0.33,48.49,0.21
2025,Indiana,84.78,0.71,98.69,0.6
2025,Iowa,64.33,1.11,71.65,0.9
2025,Kansas,29.65,0.6,41.98,0.58
2025,Kentucky,101.99,1.1,158.85,1.22
2025,Louisiana,70.59,0.69,73.72,0.53
2025,Maine,21.51,1.55,30.69,1.63
2025,Maryland,57.59,0.72,82.62,0.71
2025,Massachusetts,30.7,0.43,49.01,0.51
2025,Michigan,18.72,0.15,34.45,0.21
2025,Minnesota,51.51,0.62,42.09,0.37
2025,Mississippi,83.19,1.47,101.66,1.29
2025,Missouri,94.2,0.94,117.15,0.83
2025,Montana,32.21,1.76,45.02,1.95
2025,Nebraska,49.72,1.3,80.49,1.48
2025,Nevada,45.2,0.83,75.81,0.9
2025,New Hampshire,15.0,1.09,21.82,1.17
2025,New Jersey,10.08,0.1,12.4,0.09
2025,New Mexico,12.21,0.44,17.49,0.45
2025,New York,185.03,0.99,169.53,0.64
2025,North Carolina,254.48,1.43,414.38,1.63
2025,North Dakota,28.05,1.28,40.73,1.35
2025,Ohio,101.83,0.57,145.95,0.57
2025,Oklahoma,64.49,0.84,107.52,0.99
2025,Oregon,62.85,0.95,73.84,0.86
2025,Pennsylvania,86.44,0.49,124.5,0.49
2025,Rhode Island,11.34,1.21,16.39,1.29
2025,South Carolina,191.17,1.81,280.63,1.84
2025,South Dakota,27.9,1.76,36.87,1.69
2025,Tennessee,51.08,0.37,105.67,0.56
2025,Texas,182.83,0.35,195.67,0.25
2025,Utah,69.75,1.54,106.75,1.8
2025,Vermont,12.0,1.8,17.01,1.88
2025,Virginia,173.9,1.22,260.12,1.27
2025,Washington,310.38,2.26,421.29,2.35
2025,West Virginia,30.72,0.89,44.11,0.89
2025,Wisconsin,22.28,0.27,22.22,0.2
2025,Wyoming,22.66,1.24,31.63,1.36
2030,Alabama,769.69,7.03,1167.76,6.98
2030,Arizona,640.68,5.02,1320.65,6.64
2030,Arkansas,437.92,7.59,635.77,7.81
2030,California,984.62,2.43,1446.27,2.42
2030,Colorado,369.41,4.56,549.76,5.01
2030,Connecticut,200.25,5.47,283.81,5.57
2030,Delaware,92.25,6.2,136.71,6.18
2030,District of Columbia,68.55,4.33,101.51,4.31
2030,Florida,1660.23,4.71,2414.42,4.54
2030,Georgia,1045.24,5.74,1585.51,5.66
2030,Idaho,196.86,5.39,341.58,6.63
2030,Illinois,714.04,4.16,1109.89,4.5
2030,Indiana,705.42,5.64,958.68,5.48
2030,Iowa,343.21,5.71,456.37,5.41
2030,Kansas,275.29,5.39,418.47,5.43
