Year,Name,Mean_Abs_Diff_MWh,Mean_Rel_Diff_%,Peak_Abs_Diff_MWh,Peak_Rel_Diff_%
2020,Alabama,153.85,1.46,236.74,1.52
2020,Arizona,242.54,2.48,261.37,1.48
2020,Arkansas,52.05,0.93,60.97,0.77
2020,California,1598.37,4.46,2218.47,4.22
2020,Colorado,208.66,2.97,257.7,2.72
2020,Connecticut,22.4,0.63,26.71,0.54
2020,Delaware,2.36,0.16,2.89,0.13
2020,District of Columbia,21.59,1.38,32.37,1.41
2020,Florida,587.45,1.79,925.51,1.87
2020,Georgia,194.77,1.11,307.71,1.19
2020,Idaho,58.54,1.93,51.34,1.23
2020,Illinois,275.54,1.64,338.52,1.4
2020,Indiana,149.64,1.23,225.46,1.36
2020,Iowa,50.36,0.84,83.93,1.03
2020,Kansas,58.06,1.16,80.39,1.06
2020,Kentucky,97.46,1.05,135.81,1.02
2020,Louisiana,142.36,1.33,217.51,1.5
2020,Maine,16.86,1.21,21.59,1.12
2020,Maryland,84.08,1.03,126.82,1.06
2020,Massachusetts,74.32,1.06,94.24,0.98
2020,Michigan,203.07,1.63,308.34,1.84
2020,Minnesota,94.92,1.1,159.19,1.38
2020,Mississippi,64.51,1.1,101.6,1.25
2020,Missouri,81.87,0.77,123.37,0.82
2020,Montana,13.23,0.75,13.38,0.6
2020,Nebraska,24.35,0.68,23.47,0.42
2020,Nevada,70.65,1.54,77.74,1.01
2020,New Hampshire,13.09,0.95,16.43,0.87
2020,New Jersey,145.91,1.46,213.73,1.47
2020,New Mexico,56.16,2.08,79.99,2.07
2020,New York,466.85,2.44,570.27,2.1
2020,North Carolina,120.15,0.71,146.31,0.57
2020,North Dakota,7.18,0.34,7.6,0.25
2020,Ohio,216.24,1.21,325.02,1.24
2020,Oklahoma,72.96,0.99,90.3,0.8
2020,Oregon,157.74,2.5,192.25,2.34
2020,Pennsylvania,232.28,1.32,347.9,1.34
2020,Rhode Island,4.96,0.52,5.74,0.44
2020,South Carolina,66.57,0.64,97.19,0.63
