Name,Scenario_One,Scenario_Two,Mean_Break_Year,Mean_Break_Value_%,Peak_Break_Year,Peak_Break_Value_%
Alabama,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,5.02,2030.0,4.96
Arizona,rcp85hotter_ssp5,rcp85hotter_ssp3,2020.0,2.48,2020.0,1.51
Arkansas,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,5.34,2030.0,5.53
California,rcp85hotter_ssp5,rcp85hotter_ssp3,2020.0,4.3,2020.0,4.08
Colorado,rcp85hotter_ssp5,rcp85hotter_ssp3,2020.0,2.97,2020.0,2.73
Connecticut,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,3.93,2030.0,4.04
Delaware,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,4.16,2030.0,4.15
District of Columbia,rcp85hotter_ssp5,rcp85hotter_ssp3,2020.0,1.38,2020.0,1.41
Florida,rcp85hotter_ssp5,rcp85hotter_ssp3,2020.0,1.79,2020.0,1.87
Georgia,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,4.22,2030.0,4.11
Idaho,rcp85hotter_ssp5,rcp85hotter_ssp3,2020.0,1.92,2030.0,4.12
Illinois,rcp85hotter_ssp5,rcp85hotter_ssp3,2020.0,1.69,2020.0,1.43
Indiana,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,3.84,2030.0,3.69
Iowa,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,4.01,2030.0,3.72
Kansas,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,3.68,2030.0,3.67
Kentucky,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,4.68,2030.0,4.8
Louisiana,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,3.65,2030.0,3.42
Maine,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,5.97,2030.0,6.08
Maryland,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,3.11,2030.0,3.1
Massachusetts,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,3.37,2030.0,3.48
Michigan,rcp85hotter_ssp5,rcp85hotter_ssp3,2020.0,1.63,2020.0,1.85
Minnesota,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,3.26,2030.0,2.93
Mississippi,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,5.37,2030.0,5.08
Missouri,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,4.02,2030.0,3.83
Montana,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,4.01,2030.0,4.39
Nebraska,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,4.06,2030.0,4.29
Nevada,rcp85hotter_ssp5,rcp85hotter_ssp3,2020.0,1.54,2030.0,3.62
New Hampshire,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,4.9,2030.0,5.01
New Jersey,rcp85hotter_ssp5,rcp85hotter_ssp3,2020.0,1.48,2020.0,1.48
New Mexico,rcp85hotter_ssp5,rcp85hotter_ssp3,2020.0,2.09,2020.0,2.08
New York,rcp85hotter_ssp5,rcp85hotter_ssp3,2020.0,2.43,2020.0,2.1
North Carolina,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,4.82,2030.0,5.01
North Dakota,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,4.09,2030.0,4.16
Ohio,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,3.42,2030.0,3.41
Oklahoma,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,3.87,2030.0,4.03
Oregon,rcp85hotter_ssp5,rcp85hotter_ssp3,2020.0,2.5,2020.0,2.36
Pennsylvania,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,3.52,2030.0,3.52
Rhode Island,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,3.96,2030.0,4.06
South Carolina,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,4.83,2030.0,4.89
South Dakota,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,4.91,2030.0,4.8
Tennessee,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,4.01,2030.0,4.31
Texas,rcp85hotter_ssp5,rcp85hotter_ssp3,2020.0,1.37,2020.0,1.42
Utah,rcp85hotter_ssp5,rcp85hotter_ssp3,2020.0,2.69,2020.0,2.81
Vermont,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,6.14,2030.0,6.24
Virginia,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,4.33,2030.0,4.36
Washington,rcp85hotter_ssp5,rcp85hotter_ssp3,2020.0,3.21,2020.0,3.27
West Virginia,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,5.1,2030.0,5.09
Wisconsin,rcp85hotter_ssp5,rcp85hotter_ssp3,2030.0,3.17,2030.0,3.05
Wyoming,rcp85hotter_ssp5,rcp85hotter_ssp3,2025.0,1.3,2030.0,4.22
Alabama,rcp85hotter_ssp3,rcp85cooler_ssp3,2025.0,1.6,2025.0,1.88
Arizona,rcp85hotter_ssp3,rcp85cooler_ssp3,2030.0,1.46,2020.0,1.65
Arkansas,rcp85hotter_ssp3,rcp85cooler_ssp3,2040.0,1.33,2025.0,2.3
California,rcp85hotter_ssp3,rcp85cooler_ssp3,2030.0,1.36,2020.0,1.33
Colorado,rcp85hotter_ssp3,rcp85cooler_ssp3,2035.0,1.29,2020.0,1.62
Connecticut,rcp85hotter_ssp3,rcp85cooler_ssp3,2020.0,1.47,2020.0,2.8
Delaware,rcp85hotter_ssp3,rcp85cooler_ssp3,2025.0,1.51,2020.0,2.29
District of Columbia,rcp85hotter_ssp3,rcp85cooler_ssp3,2020.0,1.25,2020.0,2.58
Florida,rcp85hotter_ssp3,rcp85cooler_ssp3,2025.0,1.38,2025.0,1.51
Georgia,rcp85hotter_ssp3,rcp85cooler_ssp3,2025.0,1.73,2025.0,2.03
Idaho,rcp85hotter_ssp3,rcp85cooler_ssp3,2025.0,1.37,2020.0,2.06
Illinois,rcp85hotter_ssp3,rcp85cooler_ssp3,2025.0,1.3,2020.0,1.96
Indiana,rcp85hotter_ssp3,rcp85cooler_ssp3,2040.0,1.39,2020.0,1.76
Iowa,rcp85hotter_ssp3,rcp85cooler_ssp3,2040.0,1.29,2020.0,1.63
Kansas,rcp85hotter_ssp3,rcp85cooler_ssp3,2025.0,1.47,2020.0,1.83
Kentucky,rcp85hotter_ssp3,rcp85cooler_ssp3,2025.0,1.38,2020.0,1.52
Louisiana,rcp85hotter_ssp3,rcp85cooler_ssp3,2045.0,1.54,2020.0,1.33
Maine,rcp85hotter_ssp3,rcp85cooler_ssp3,2020.0,1.6,2020.0,2.34
Maryland,rcp85hotter_ssp3,rcp85cooler_ssp3,2025.0,1.49,2020.0,2.26
Massachusetts,rcp85hotter_ssp3,rcp85cooler_ssp3,2020.0,1.47,2020.0,2.78
Michigan,rcp85hotter_ssp3,rcp85cooler_ssp3,2045.0,1.52,2020.0,1.3
Minnesota,rcp85hotter_ssp3,rcp85cooler_ssp3,2045.0,1.54,2025.0,1.64
Mississippi,rcp85hotter_ssp3,rcp85cooler_ssp3,2025.0,1.28,2025.0,1.95
Missouri,rcp85hotter_ssp3,rcp85cooler_ssp3,2025.0,1.3,2020.0,2.05
Montana,rcp85hotter_ssp3,rcp85cooler_ssp3,2030.0,1.27,2025.0,1.51
Nebraska,rcp85hotter_ssp3,rcp85cooler_ssp3,2025.0,1.44,2020.0,1.69
Nevada,rcp85hotter_ssp3,rcp85cooler_ssp3,2030.0,1.51,2020.0,1.8
New Hampshire,rcp85hotter_ssp3,rcp85cooler_ssp3,2020.0,1.56,2020.0,2.43
New Jersey,rcp85hotter_ssp3,rcp85cooler_ssp3,2025.0,1.47,2020.0,2.6
New Mexico,rcp85hotter_ssp3,rcp85cooler_ssp3,2035.0,1.27,2035.0,1.55
New York,rcp85hotter_ssp3,rcp85cooler_ssp3,2020.0,1.32,2020.0,2.71
North Carolina,rcp85hotter_ssp3,rcp85cooler_ssp3,2025.0,1.89,2020.0,1.58
North Dakota,rcp85hotter_ssp3,rcp85cooler_ssp3,2025.0,1.3,2025.0,1.6
Ohio,rcp85hotter_ssp3,rcp85cooler_ssp3,2025.0,1.48,2020.0,1.76
Oklahoma,rcp85hotter_ssp3,rcp85cooler_ssp3,2025.0,1.49,2020.0,1.47
Oregon,rcp85hotter_ssp3,rcp85cooler_ssp3,2020.0,1.25,2020.0,1.37
Pennsylvania,rcp85hotter_ssp3,rcp85cooler_ssp3,2025.0,1.47,2020.0,2.25
Rhode Island,rcp85hotter_ssp3,rcp85cooler_ssp3,2020.0,1.56,2020.0,3.21
South Carolina,rcp85hotter_ssp3,rcp85cooler_ssp3,2025.0,1.8,2020.0,1.56
South Dakota,rcp85hotter_ssp3,rcp85cooler_ssp3,2035.0,1.36,2025.0,1.74
Tennessee,rcp85hotter_ssp3,rcp85cooler_ssp3,2025.0,1.65,2020.0,1.47
Texas,rcp85hotter_ssp3,rcp85cooler_ssp3,2035.0,1.41,2030.0,1.32
Utah,rcp85hotter_ssp3,rcp85cooler_ssp3,2055.0,1.45,2020.0,1.96
Vermont,rcp85hotter_ssp3,rcp85cooler_ssp3,2020.0,1.62,2020.0,2.3
Virginia,rcp85hotter_ssp3,rcp85cooler_ssp3,2025.0,2.02,2030.0,1.55
Washington,rcp85hotter_ssp3,rcp85cooler_ssp3,2030.0,1.49,2035.0,1.49
West Virginia,rcp85hotter_ssp3,rcp85cooler_ssp3,2025.0,1.52,2020.0,1.62
Wisconsin,rcp85hotter_ssp3,rcp85cooler_ssp3,2045.0,1.48,2020.0,1.3
Wyoming,rcp85hotter_ssp3,rcp85cooler_ssp3,2050.0,1.27,2020.0,1.45
Alabama,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.4,2020.0,1.31
Arizona,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.29,2025.0,2.43
Arkansas,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.74,2025.0,1.94
California,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.44,2020.0,1.68
Colorado,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.56,2020.0,1.44
Connecticut,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,1.64,2020.0,1.41
Delaware,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.42,2020.0,1.33
District of Columbia,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,1.64,2020.0,1.51
Florida,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.46,2020.0,1.37
Georgia,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.72,2025.0,1.91
Idaho,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.69,2025.0,2.07
Illinois,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,1.83,2025.0,1.42
Indiana,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,1.67,2025.0,1.3
Iowa,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.29,2025.0,1.47
Kansas,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,1.62,2025.0,1.37
Kentucky,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.5,2025.0,1.62
Louisiana,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.67,2020.0,1.74
Maine,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.44,2020.0,1.48
Maryland,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,1.41,2025.0,1.4
Massachusetts,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,1.28,2020.0,1.35
Michigan,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,1.51,2025.0,1.32
Minnesota,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,1.62,2025.0,1.42
Mississippi,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.29,2020.0,1.31
Missouri,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,1.28,2035.0,3.37
Montana,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.3,2025.0,2.61
Nebraska,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.3,2035.0,3.22
Nevada,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.58,2025.0,1.66
New Hampshire,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,1.46,2020.0,1.46
New Jersey,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,1.82,2025.0,1.35
New Mexico,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,2.75,2030.0,3.02
New York,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.27,2020.0,1.5
North Carolina,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.71,2025.0,2.14
North Dakota,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.34,2025.0,1.51
Ohio,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.35,2025.0,1.59
Oklahoma,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.98,2025.0,2.08
Oregon,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.68,2025.0,1.53
Pennsylvania,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.36,2025.0,1.6
Rhode Island,rcp85hotter_ssp3,rcp45hotter_ssp3,2030.0,1.4,2020.0,1.37
South Carolina,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.67,2025.0,2.05
South Dakota,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.38,2025.0,1.54
Tennessee,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.38,2020.0,1.39
Texas,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.39,2020.0,1.34
Utah,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.31,2020.0,1.27
Vermont,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.27,2020.0,1.37
Virginia,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,4.47,2020.0,1.35
Washington,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.47,2030.0,1.77
West Virginia,rcp85hotter_ssp3,rcp45hotter_ssp3,2035.0,1.65,2025.0,1.31
Wisconsin,rcp85hotter_ssp3,rcp45hotter_ssp3,2025.0,1.37,2025.0,1.56
Wyoming,rcp85hotter_ssp3,rcp45hotter_ssp3,2020.0,1.4,2025.0,2.72
Alabama,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,7.09,2030.0,7.02
Arizona,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.03,2030.0,6.69
Arkansas,rcp45cooler_ssp5,rcp45cooler_ssp3,2025.0,1.87,2025.0,2.03
California,rcp45cooler_ssp5,rcp45cooler_ssp3,2020.0,2.93,2020.0,2.7
Colorado,rcp45cooler_ssp5,rcp45cooler_ssp3,2020.0,1.57,2030.0,5.01
Connecticut,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.45,2030.0,5.57
Delaware,rcp45cooler_ssp5,rcp45cooler_ssp3,2025.0,2.42,2025.0,2.42
District of Columbia,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,4.31,2030.0,4.29
Florida,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,4.7,2030.0,4.53
Georgia,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.79,2030.0,5.67
Idaho,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.36,2030.0,6.46
Illinois,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,4.18,2030.0,4.52
Indiana,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.65,2030.0,5.52
Iowa,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.72,2030.0,5.45
Kansas,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.42,2030.0,5.39
Kentucky,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,6.87,2030.0,6.96
Louisiana,rcp45cooler_ssp5,rcp45cooler_ssp3,2030.0,5.96,2030.0,5.76
